指标,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
居民消费水平,25002,22935,21285,19397,17778,16190,14699,13134,10919,9514
农村居民消费水平,13062,11691,10783,9679,8711,7773,6964,6187,4941,4402
城镇居民消费水平,33282,31098,29295,27210,25424,23609,21861,19912,17104,15127
居民消费水平指数,106.7,106,107.6,107.5,107.7,107.3,109.1,111,109.6,109.8
农村居民消费水平指数,109.5,107.1,109.3,109.5,109.9,108.6,108.9,112.9,107.4,109.3
城镇居民消费水平指数,104.8,104.3,105.5,105.4,105.6,105.3,107.2,108.2,107.9,108
居民消费水平指数,2060.2,1930,1820.5,1692.6,1574.6,1462,1362,1248.6,1124.5,1026.1
农村居民消费水平指数,1474.4,1346.9,1258.1,1150.6,1050.4,955.8,880.4,808.6,716,666.9
城镇居民消费水平指数,1162.7,1109.6,1063.5,1008.1,956.3,905.4,859.9,802.1,741.2,687.1
