指标,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
旅客运输量,1793820.33,1848620.12,1900194.34,1943271,2032217.81,2122991.55,3804034.9,3526318.73,3269508.17,2976897.83
铁路客运量,337494.67,308379.34,281405.23,253484,230460,210596.92,189336.85,186226.07,167609.02,152451.19
公路客运量,1367170.39,1456784.33,1542758.67,1619097,1736270,1853463,3557010,3286220,3052738,2779081
水运客运量,27981.49,28300.34,27234.4,27072,26292.93,23535,25752,24556,22392,22314
民用航空客运量,61173.77,55156.11,48796.05,43618,39194.88,35396.63,31936.05,29316.66,26769.14,23051.64
